Bird_ID,Treatment,song_tx,drug_tx,BST_egr1_mean,LSc.vl_egr1_mean,VMHl_egr1_mean,VMHm_egr1_mean,cPOM_egr1_mean,alert,beakgape_time_sum,headtilts,feeding,alert_proportion_during_song,beakgape_proportion_during_song,headtilt_proportion_during_song,feeding_proportion_during_song
1,Silence_Saline,Silence,Saline,20.5,7,6,NA,20,1,108.419,20,0,NA,NA,NA,NA
2,Silence_BacMusc,Silence,BacMusc,23.5,24.5,37.5,89,64.5,NA,NA,NA,NA,NA,NA,NA,NA
3,Sound_BacMusc,Sound,BacMusc,20.33333333,6.333333333,25.5,7.25,21.25,29,82.683,121,17,0.690909091,0.166666667,0.570175439,0.2
4,Sound_Saline,Sound,Saline,13.25,8.5,31.25,20.25,35.5,0,0,6,0,NA,NA,NA,NA
5,Sound_BacMusc,Sound,BacMusc,95.75,24.25,58.25,117.5,47.5,12,344.036,119,6,0.75,0.434782609,0.68627451,0.333333333
6,Silence_Saline,Silence,Saline,115.75,15.5,18,35,24.75,19,197.675,66,8,NA,NA,NA,NA
7,Sound_Saline,Sound,Saline,NA,NA,NA,NA,42.5,18,341.728,104,0,0.757575758,0.609756098,0.621621622,NA
8,Sound_Saline,Sound,Saline,49,11.5,NA,NA,28.33333333,0,63.761,10,0,NA,0.625,0.888888889,NA
9,Silence_Saline,Silence,Saline,48.25,5,NA,NA,25,13,6.006,169,0,NA,NA,NA,NA
10,Silence_BacMusc,Silence,BacMusc,14.75,3.25,23,14,35.75,6,44.743,52,14,NA,NA,NA,NA
11,Sound_BacMusc,Sound,BacMusc,14.33333333,9.333333333,NA,NA,31.25,3,271.788,24,2,1,0.666666667,0.6,0.5
12,Sound_BacMusc,Sound,BacMusc,20.25,2.5,26.75,15.75,11.25,13,44.035,75,15,0.761904762,0.214285714,0.655737705,0.533333333
13,Sound_Saline,Sound,Saline,77,7.5,NA,NA,27.25,8,7.91,115,1,0.75,0.5,0.663636364,1
14,Silence_BacMusc,Silence,BacMusc,28.5,14.25,22.25,29,35.75,NA,NA,NA,NA,NA,NA,NA,NA
15,Silence_BacMusc,Silence,BacMusc,57.5,11,NA,NA,18.25,1,0,23,7,NA,NA,NA,NA
16,Sound_BacMusc,Sound,BacMusc,111.5,11.75,13.5,11,9,4,86.797,57,5,0.5,0.75,0.805555556,0.8
17,Sound_Saline,Sound,Saline,111.75,8.5,25.75,18.25,21.25,2,0.4,78,0,0.5,1,0.641791045,NA
18,Silence_Saline,Silence,Saline,66,4.75,13.5,14.25,35.25,1,204.523,21,9,NA,NA,NA,NA
19,Silence_Saline,Silence,Saline,17.33333333,4.666666667,13,18,17,9,3,55,0,NA,NA,NA,NA
20,Sound_BacMusc,Sound,BacMusc,121.75,6.25,21.33333333,32,20,4,0,67,3,NA,NA,0.64,NA
21,Silence_BacMusc,Silence,BacMusc,19.25,7.75,24.66666667,34.33333333,18.5,11,103.388,107,10,NA,NA,NA,NA
22,Sound_Saline,Sound,Saline,36.75,1.25,30.5,19.5,21.25,2,174.577,111,0,1,0.178571429,0.681318681,NA
23,Silence_BacMusc,Silence,BacMusc,126.25,16,NA,NA,13,18,71.268,98,12,NA,NA,NA,NA
24,Silence_Saline,Silence,Saline,147.5,12,15,13,40.25,NA,NA,NA,NA,NA,NA,NA,NA
25,Sound_Saline,Sound,Saline,54.75,7,30.75,15.5,28.25,2,63.769,23,2,0.75,0.928571429,0.6,0.5
26,Sound_BacMusc,Sound,BacMusc,52.5,6.5,NA,NA,33,14,7.511,63,4,0.62962963,0.333333333,0.549019608,0.5
