Unit_ID,Bird_ID,Hemisphere,Trial,Unit_letter,Stimulus,p.value
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,0.349388819
Bl86-R20_Lhem_T2TRIAL3.90_B,Bl86-R20,Lhem,T2TRIAL3.90,B,Female_call,0.03054485
Bl86-R20_Lhem_T2TRIAL3.90_C,Bl86-R20,Lhem,T2TRIAL3.90,C,Female_call,0.044862271
Bl86-R20_Lhem_T2TRIAL4.00_A,Bl86-R20,Lhem,T2TRIAL4.00,A,Female_call,0.16714366
Bl86-R20_Lhem_T2TRIAL4.00_B,Bl86-R20,Lhem,T2TRIAL4.00,B,Female_call,0.439521667
Bl86-R20_Lhem_T2TRIAL4.00_C,Bl86-R20,Lhem,T2TRIAL4.00,C,Female_call,0.722338992
R37-R3_Lhem_T2TRIAL2.45_A,R37-R3,Lhem,T2TRIAL2.45,A,Female_call,0.589773791
R37-R3_Lhem_T2TRIAL2.45_B,R37-R3,Lhem,T2TRIAL2.45,B,Female_call,0.119813814
R37-R3_Lhem_T2TRIAL2.45_C,R37-R3,Lhem,T2TRIAL2.45,C,Female_call,0.394365004
R37-R3_Lhem_T2TRIAL2.55_A,R37-R3,Lhem,T2TRIAL2.55,A,Female_call,0.952514732
R37-R3_Lhem_T2TRIAL2.55_B,R37-R3,Lhem,T2TRIAL2.55,B,Female_call,0.759608429
R37-R3_Lhem_T2TRIAL2.65_A,R37-R3,Lhem,T2TRIAL2.65,A,Female_call,0.013560119
R37-R3_Lhem_T2TRIAL2.65_B,R37-R3,Lhem,T2TRIAL2.65,B,Female_call,0.409846729
R37-R3_Lhem_T2TRIAL2.70_A,R37-R3,Lhem,T2TRIAL2.70,A,Female_call,0.014625802
R37-R3_Lhem_T2TRIAL2.70_B,R37-R3,Lhem,T2TRIAL2.70,B,Female_call,0.007922776
R37-R3_Lhem_T2TRIAL2.75_A,R37-R3,Lhem,T2TRIAL2.75,A,Female_call,0.02401603
R37-R3_Lhem_T2TRIAL2.75_B,R37-R3,Lhem,T2TRIAL2.75,B,Female_call,0.005603194
R37-R3_Lhem_T2TRIAL2.80_A,R37-R3,Lhem,T2TRIAL2.80,A,Female_call,0.016324091
R37-R3_Lhem_T2TRIAL2.80_B,R37-R3,Lhem,T2TRIAL2.80,B,Female_call,0.012227496
R37-R3_Lhem_T2TRIAL2.90_A,R37-R3,Lhem,T2TRIAL2.90,A,Female_call,0.03103252
R37-R3_Lhem_T2TRIAL2.90_B,R37-R3,Lhem,T2TRIAL2.90,B,Female_call,0.197466073
R37-R3_Lhem_T2TRIAL3.00_A,R37-R3,Lhem,T2TRIAL3.00,A,Female_call,0.104059235
R37-R3_Lhem_T2TRIAL3.00_B,R37-R3,Lhem,T2TRIAL3.00,B,Female_call,0.345778586
R37-R3_Lhem_T2TRIAL3.10_A,R37-R3,Lhem,T2TRIAL3.10,A,Female_call,0.046567761
R37-R3_Lhem_T2TRIAL3.10_B,R37-R3,Lhem,T2TRIAL3.10,B,Female_call,0.080730585
W32_Rhem_T1TRIAL2.40_A,W32,Rhem,T1TRIAL2.40,A,Female_call,0.022494271
W32_Rhem_T1TRIAL2.40_B,W32,Rhem,T1TRIAL2.40,B,Female_call,0.012772495
W32_Rhem_T1TRIAL2.45_A,W32,Rhem,T1TRIAL2.45,A,Female_call,0.016464233
W32_Rhem_T1TRIAL2.45_B,W32,Rhem,T1TRIAL2.45,B,Female_call,0.016464233
W32_Rhem_T1TRIAL2.50_A,W32,Rhem,T1TRIAL2.50,A,Female_call,0.009029911
W32_Rhem_T1TRIAL2.50_B,W32,Rhem,T1TRIAL2.50,B,Female_call,0.008908948
W32_Rhem_T1TRIAL2.55_A,W32,Rhem,T1TRIAL2.55,A,Female_call,0.014116389
W32_Rhem_T1TRIAL2.55_B,W32,Rhem,T1TRIAL2.55,B,Female_call,0.033325368
W32_Rhem_T1TRIAL2.60_A,W32,Rhem,T1TRIAL2.60,A,Female_call,0.021303176
W32_Rhem_T1TRIAL2.60_B,W32,Rhem,T1TRIAL2.60,B,Female_call,0.005478553
W32_Rhem_T1TRIAL2.65_A,W32,Rhem,T1TRIAL2.65,A,Female_call,0.00588927
W32_Rhem_T1TRIAL2.65_B,W32,Rhem,T1TRIAL2.65,B,Female_call,0.00588927
W32_Rhem_T1TRIAL2.69_A,W32,Rhem,T1TRIAL2.69,A,Female_call,0.385343441
W32_Rhem_T1TRIAL2.69_B,W32,Rhem,T1TRIAL2.69,B,Female_call,0.574315519
W32_Rhem_T1TRIAL2.73_A,W32,Rhem,T1TRIAL2.73,A,Female_call,0.397180471
W32_Rhem_T1TRIAL2.73_B,W32,Rhem,T1TRIAL2.73,B,Female_call,0.171938366
W32_Rhem_T1TRIAL2.85_A,W32,Rhem,T1TRIAL2.85,A,Female_call,0.83783949
W32_Rhem_T1TRIAL2.85_B,W32,Rhem,T1TRIAL2.85,B,Female_call,0.865534325
W32_Rhem_T1TRIAL2.88_A,W32,Rhem,T1TRIAL2.88,A,Female_call,0.032356555
W32_Rhem_T1TRIAL2.88_B,W32,Rhem,T1TRIAL2.88,B,Female_call,0.473684074
W32_Rhem_T1TRIAL2.88_C,W32,Rhem,T1TRIAL2.88,C,Female_call,0.831379977
W32_Rhem_T1TRIAL2.95_A,W32,Rhem,T1TRIAL2.95,A,Female_call,0.026268291
W32_Rhem_T1TRIAL2.95_B,W32,Rhem,T1TRIAL2.95,B,Female_call,0.031110765
W32_Rhem_T1TRIAL2.95_C,W32,Rhem,T1TRIAL2.95,C,Female_call,0.0522595
W32_Rhem_T1TRIAL3.00_A,W32,Rhem,T1TRIAL3.00,A,Female_call,0.018363832
W32_Rhem_T1TRIAL3.00_B,W32,Rhem,T1TRIAL3.00,B,Female_call,0.090269253
W32_Rhem_T1TRIAL3.05_A,W32,Rhem,T1TRIAL3.05,A,Female_call,0.513559503
W32_Rhem_T1TRIAL3.05_B,W32,Rhem,T1TRIAL3.05,B,Female_call,0.475253806
W32_Rhem_T1TRIAL3.05_C,W32,Rhem,T1TRIAL3.05,C,Female_call,0.126825658
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,0.043825584
Bl86-R20_Lhem_T2TRIAL3.90_B,Bl86-R20,Lhem,T2TRIAL3.90,B,Male_song_1,0.95230309
Bl86-R20_Lhem_T2TRIAL3.90_C,Bl86-R20,Lhem,T2TRIAL3.90,C,Male_song_1,0.10224681
Bl86-R20_Lhem_T2TRIAL4.00_A,Bl86-R20,Lhem,T2TRIAL4.00,A,Male_song_1,0.918601717
Bl86-R20_Lhem_T2TRIAL4.00_B,Bl86-R20,Lhem,T2TRIAL4.00,B,Male_song_1,0.725639962
Bl86-R20_Lhem_T2TRIAL4.00_C,Bl86-R20,Lhem,T2TRIAL4.00,C,Male_song_1,0.154769205
R37-R3_Lhem_T2TRIAL2.45_A,R37-R3,Lhem,T2TRIAL2.45,A,Male_song_1,0.260950463
R37-R3_Lhem_T2TRIAL2.45_B,R37-R3,Lhem,T2TRIAL2.45,B,Male_song_1,0.263199078
R37-R3_Lhem_T2TRIAL2.45_C,R37-R3,Lhem,T2TRIAL2.45,C,Male_song_1,0.29317746
R37-R3_Lhem_T2TRIAL2.55_A,R37-R3,Lhem,T2TRIAL2.55,A,Male_song_1,1
R37-R3_Lhem_T2TRIAL2.55_B,R37-R3,Lhem,T2TRIAL2.55,B,Male_song_1,0.012772495
R37-R3_Lhem_T2TRIAL2.65_A,R37-R3,Lhem,T2TRIAL2.65,A,Male_song_1,0.009252446
