Unit,Bird_ID,Hemisphere,Track,Unit_letter,Stimulus,Trial,Period,FR_Hz
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,1,Baseline,1
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,1,Stimulus,2
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,2,Baseline,3
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,2,Stimulus,4
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,3,Baseline,2
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,3,Stimulus,4
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,4,Baseline,0
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,4,Stimulus,2
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,5,Baseline,2
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,5,Stimulus,0
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,6,Baseline,1
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,6,Stimulus,0
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,7,Baseline,0
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,7,Stimulus,4
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,8,Baseline,2
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,8,Stimulus,0
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,9,Baseline,1
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,9,Stimulus,2
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,10,Baseline,1
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Female_call,10,Stimulus,2
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,11,Baseline,1
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,11,Stimulus,5.333333333
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,12,Baseline,2
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,12,Stimulus,4.666666667
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,13,Baseline,2
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,13,Stimulus,2
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,14,Baseline,1
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,14,Stimulus,0.666666667
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,15,Baseline,0
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,15,Stimulus,1.333333333
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,16,Baseline,0
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,16,Stimulus,2.666666667
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,17,Baseline,0
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,17,Stimulus,0.666666667
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,18,Baseline,0
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,18,Stimulus,0.666666667
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,19,Baseline,3
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,19,Stimulus,2
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,20,Baseline,0
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_1,20,Stimulus,2
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_2,21,Baseline,0
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_2,21,Stimulus,3.333333333
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,Male_song_2,22,Baseline,0
